Method,UCIQE,UIQM,UIConM,UISM,UICM,entropy,CCF
Raw,34.5435,0.9638,-0.1489,4.0165,10.9910,6.4360,6.1078
Processed,36.1423,1.3170,-0.1368,4.8742,13.0017,6.7837,12.9806
Clahe,34.2644,1.2024,-0.1560,4.9006,11.1018,6.7788,11.365
Grey World,30.8121,0.9518,-0.1493,3.9647,11.1663,6.4246,6.5771
Max RGB,27.3190,0.9303,-0.1473,4.3682,5.9217,6.5853,2.852
MSR,34.5479,1.3611,-0.1393,5.1399,12.1020,7.7569,17.6559
MSRCP,38.2102,1.0643,-0.1327,4.4564,7.8934,7.0115,5.1098
MSRCR,15.0838,0.7142,-0.1198,3.8844,-0.1653,6.0080,2.3201
SSR,36.0846,1.2733,-0.1338,4.8325,11.5080,7.0979,19.3236
WCID,32.6000,0.7255,-0.0979,2.5337,11.6125,4.3645,12.4484
White Balance,34.9375,0.8975,-0.1495,3.8324,10.6460,6.3755,7.1807
